datasource_name2	system_code3	website_url4	linkout_pattern5	example_identifier6	entity_identified7	single_species8	uri11	regex12	official_name13
Ensembl	En	http://www.ensembl.org/	http://ensemblgenomes.org/id/$id	ENSG00000139618	gene		urn:miriam:ensembl	^ENS[A-Z]*[FPTG]\d{11}$	Ensembl
Entrez Gene	L	http://www.ncbi.nlm.nih.gov/gene	http://www.ncbi.nlm.nih.gov/gene/$id	11234	gene		urn:miriam:ncbigene	^\d+$	Entrez Gene
FlyBase	F	http://flybase.org/	http://flybase.org/reports/$id.html	FBgn0011293	gene	Drosophila melanogaster	urn:miriam:flybase	^FB\w{2}\d{7}$	FlyBase
HGNC	H	http://www.genenames.org	http://www.genenames.org/data/hgnc_data.php?match=$id	DAPK1	gene	Homo sapiens	urn:miriam:hgnc.symbol	^[A-Za-z0-9]+	HGNC Symbol
KEGG Genes	Kg	http://www.genome.jp/kegg/genes.html	http://www.genome.jp/dbget-bin/www_bget?$id	syn:ssr3451	gene		urn:miriam:kegg.genes	^\w+:[\w\d\.-]*$	KEGG Genes
MGI	M	http://www.informatics.jax.org/	http://www.informatics.jax.org/marker/$id	MGI:2442292	gene	Mus musculus	urn:miriam:mgd	^MGI:\d+$	Mouse Genome Database
miRBase	Mbm	http://www.mirbase.org/	http://www.mirbase.org/cgi-bin/mature.pl?mature_acc=$id	MIMAT0000001	gene		urn:miriam:mirbase.mature	MIMAT\d{7}	miRBase mature sequence
RGD	R	http://rgd.mcw.edu/	http://rgd.mcw.edu/tools/genes/genes_view.cgi?id=$id	2018	gene	Rattus norvegicus	urn:miriam:rgd	"^\d{4,7}$"	Rat Genome Database
SGD	D	http://www.yeastgenome.org/	http://www.yeastgenome.org/cgi-bin/locus.fpl?dbid=$id	S000028457	gene	Saccharomyces cerevisiae	urn:miriam:sgd	^S\d+$	SGD
TAIR	A	http://arabidopsis.org/index.jsp	http://arabidopsis.org/servlets/TairObject?type=locus&name=$id	AT1G01030	gene	Arabidopsis thaliana	urn:miriam:tair.locus	^AT[1-5]G\d{5}$	TAIR Locus
UniGene	U	http://www.ncbi.nlm.nih.gov/unigene	http://www.ncbi.nlm.nih.gov/unigene?term=$id	Hs.553708	gene		U	[A-Z][a-z][a-z]?\.\d+	UniGene
Uniprot-TrEMBL	S	http://www.uniprot.org/	http://www.uniprot.org/uniprot/$id	P62158	protein		urn:miriam:uniprot	"^([A-N,R-Z][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9])|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])(\.\d+)?|([A-N,R-Z][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9])$"	UniProtKB/TrEMBL
WormBase	W	http://www.wormbase.org/	http://www.wormbase.org/db/gene/gene?name=$id;class=Gene	WBGene00000001	gene	Caenorhabditis elegans	urn:miriam:wormbase	^WBGene\d{8}$	WormBase
ZFIN	Z	http://zfin.org	http://zfin.org/action/marker/view/$id	ZDB-GENE-041118-11	gene	Danio rerio	urn:miriam:zfin	ZDB\-GENE\-\d+\-\d+	ZFIN Gene
